iter	Passed	Remaining
0	5	5581
1	8	4343
2	11	3820
3	14	3596
4	17	3433
5	20	3325
6	22	3196
7	24	3097
8	27	3042
9	30	3009
10	32	2960
11	35	2924
12	37	2870
13	40	2833
14	42	2806
15	45	2770
16	47	2761
17	50	2738
18	52	2727
19	55	2711
20	57	2690
21	60	2675
22	62	2658
23	64	2639
24	67	2632
25	68	2579
26	71	2578
27	74	2574
28	76	2564
29	79	2576
30	82	2584
31	85	2578
32	87	2566
33	88	2504
34	90	2498
35	93	2496
36	95	2495
37	98	2490
38	100	2484
39	103	2495
40	106	2491
41	108	2483
42	111	2481
43	114	2481
44	116	2476
45	119	2473
46	121	2466
47	124	2464
48	126	2457
49	129	2453
50	131	2450
51	134	2445
52	136	2443
53	139	2439
54	141	2432
55	144	2431
56	146	2428
57	149	2424
58	151	2421
59	154	2416
60	156	2411
61	159	2406
62	161	2404
63	164	2399
64	166	2394
65	168	2389
66	171	2385
67	173	2383
68	176	2379
69	178	2373
70	181	2368
71	183	2365
72	186	2365
73	188	2362
74	191	2363
75	194	2358
76	196	2355
77	199	2353
78	201	2348
79	204	2346
80	206	2343
81	209	2340
82	211	2337
83	214	2334
84	216	2330
85	219	2327
86	221	2326
87	224	2323
88	226	2320
89	229	2317
90	231	2314
91	234	2311
92	236	2306
93	238	2302
94	241	2298
95	243	2295
96	246	2291
97	248	2287
98	251	2286
99	253	2285
100	256	2281
101	258	2280
102	261	2280
103	264	2276
104	266	2273
105	269	2271
106	271	2269
107	274	2270
108	277	2272
109	280	2268
110	282	2266
111	285	2262
112	287	2258
113	290	2255
114	292	2253
115	295	2249
116	297	2247
117	300	2243
118	302	2242
119	305	2238
120	307	2235
121	310	2232
122	312	2229
123	315	2226
124	317	2223
125	320	2220
126	322	2218
127	325	2214
128	327	2214
129	330	2212
130	333	2209
131	335	2205
132	337	2202
133	340	2198
134	342	2194
135	345	2192
136	347	2189
137	350	2186
138	352	2182
139	354	2180
140	357	2178
141	359	2175
142	362	2172
