hotel_name,location,biriyani_price,pizza_price,burger_price,noodles_price,fried_rice_price,notes
Ahmedia Hotel,"Vaniyambadi, TN",249,N/A,N/A,N/A,N/A,"Chicken Biriyani ₹249, Mutton Biriyani ₹349 [web:1][web:19]"
Dindigul Thalappakatti,Chennai (Besant Nagar),340,N/A,N/A,N/A,N/A,"Chicken Biriyani ₹340, Veg Biriyani ₹275 [web:21]"
Dindigul Thalappakatti,Coimbatore,279,N/A,N/A,N/A,N/A,Egg Biriyani ₹279 [web:30]
Anjappar Chettinad,Chennai (Anna Nagar),319,N/A,N/A,299,299,"Chicken Biriyani ₹319, Mutton Biriyani ₹399, Veg Fried Rice ₹299 [web:26]"
Anjappar Chettinad,Chennai,190,N/A,N/A,155,155,"Chicken Biriyani ₹190, Veg Fried Noodles/Rice ₹155 [web:23]"
Sangeetha Veg Restaurant,Chennai,200,N/A,N/A,253,205,"Hyd Biriyani ₹200, Veg Dum Biriyani ₹210, Spicy Yami Noodles ₹253 [web:13]"
Habib Sons,Trichy (Beema Nagar),79,N/A,N/A,79,79,Unlimited Fried Rice/Noodles ₹79 [web:2]
AL MOON,Chennai (Mount Road),199,N/A,N/A,N/A,N/A,"Buy 1 Get 1 Chicken Biriyani ₹199, serves Pizza/Burger [web:12][web:16]"
The 90's Kids Restaurant,Chennai (Perambur),N/A,N/A,N/A,499,499,"Bucket Fried Rice ₹499, Bucket Noodles ₹499 [web:6]"
Food Court (Tvm),Tamil Nadu,N/A,N/A,N/A,49,49,Veg Fried Rice/Noodles ₹49 [web:5]
Fast Food Joints (Justdial Avg),Trichy (Bheema Nagar),N/A,150,185,N/A,N/A,"Burger Non-Veg ₹120-250, Veg ₹80-150, Pizza Slice ₹100-200 [web:8]"
Shree Annapurna Hotel,Madurai,N/A,N/A,N/A,89,89,Dinner Fried Rice/Noodles ₹89 [web:43]
Unknown Hotel,Madurai,270,N/A,N/A,N/A,250,"Biriyani ₹270, Chicken Fried Rice ₹250 [web:46]"
Cibo Madurai,Madurai,N/A,370,N/A,N/A,N/A,Great Indian Pizza ₹370 [web:49]
The Biryani Express,Chennai (Mogappair),380,N/A,N/A,N/A,210,"Full Chicken Biriyani ₹380, Fried Rice ₹210 [web:42]"
Quality Restaurant,Chennai (Potheri),N/A,N/A,N/A,200,200,Chicken Fried Rice ₹200 [web:48]
All Day Restaurant,Chennai (Chengalpattu),N/A,N/A,N/A,N/A,230,"Chicken Fried Rice ₹230, Schezwan ₹250 [web:45]"
Buhari Hotel,Chennai,200,N/A,N/A,N/A,N/A,Biriyani ₹200+ [web:28]
